Player,Position,Age,Nationality1,Nationality2,Club,MarketValue(m)
Erling Haaland,Centre-Forward,22,Norway,,Manchester City,180
Kylian Mbappé,Centre-Forward,24,France,Cameroon,Paris Saint-Germain,180
Vinicius Junior,Left Winger,22,Brazil,Spain,Real Madrid,150
Jude Bellingham,Central Midfield,20,England,,Real Madrid,120
Bukayo Saka,Right Winger,21,England,Nigeria,Arsenal FC,120
Victor Osimhen,Centre-Forward,24,Nigeria,,SSC Napoli,120
Jamal Musiala,Attacking Midfield,20,Germany,England,Bayern Munich,110
Phil Foden,Left Winger,23,England,,Manchester City,110
Pedri,Central Midfield,20,Spain,,FC Barcelona,100
Rodrygo,Right Winger,22,Brazil,Spain,Real Madrid,100
Federico Valverde,Central Midfield,24,Uruguay,Spain,Real Madrid,100
Gavi,Central Midfield,18,Spain,,FC Barcelona,90
Declan Rice,Defensive Midfield,24,England,Ireland,West Ham United,90
Rodri,Defensive Midfield,27,Spain,,Manchester City,90
Rafael Leão,Left Winger,24,Portugal,Angola,AC Milan,90
Martin Ødegaard,Attacking Midfield,24,Norway,,Arsenal FC,90
Harry Kane,Centre-Forward,29,England,,Tottenham Hotspur,90
Eduardo Camavinga,Central Midfield,20,France,Congo,Real Madrid,85
Florian Wirtz,Attacking Midfield,20,Germany,,Bayer 04 Leverkusen,85
Khvicha Kvaratskhelia,Left Winger,22,Georgia,,SSC Napoli,85
Aurélien Tchouaméni,Defensive Midfield,23,France,Cameroon,Real Madrid,85
Lautaro Martínez,Centre-Forward,25,Argentina,,Inter Milan,85
Gabriel Martinelli,Left Winger,22,Brazil,Italy,Arsenal FC,80
Enzo Fernández,Defensive Midfield,22,Argentina,,Chelsea FC,80
Randal Kolo Muani,Centre-Forward,24,France,DR Congo,Eintracht Frankfurt,80
Christopher Nkunku,Second Striker,25,France,DR Congo,Chelsea FC,80
Marcus Rashford,Left Winger,25,England,St. Kitts & Nevis,Manchester United,80
Rúben Dias,Centre-Back,26,Portugal,,Manchester City,80
Bernardo Silva,Attacking Midfield,28,Portugal,,Manchester City,80
Moisés Caicedo,Defensive Midfield,21,Ecuador,,Brighton & Hove Albion,75
Luis Díaz,Left Winger,26,Colombia,,Liverpool FC,75
Josko Gvardiol,Centre-Back,21,Croatia,,RB Leipzig,75
Gabriel Jesus,Centre-Forward,26,Brazil,,Arsenal FC,75
Frenkie de Jong,Central Midfield,26,Netherlands,,FC Barcelona,75
Matthijs de Ligt,Centre-Back,23,Netherlands,,Bayern Munich,75
Nicolò Barella,Central Midfield,26,Italy,,Inter Milan,75
Bruno Fernandes,Attacking Midfield,28,Portugal,,Manchester United,75
Jack Grealish,Left Winger,27,England,Ireland,Manchester City,75
Joshua Kimmich,Defensive Midfield,28,Germany,,Bayern Munich,75
Bruno Guimarães,Defensive Midfield,25,Brazil,Spain,Newcastle United,70
Ronald Araújo,Centre-Back,24,Uruguay,Spain,FC Barcelona,70
Alphonso Davies,Left-Back,22,Canada,Liberia,Bayern Munich,70
Éder Militão,Centre-Back,25,Brazil,Spain,Real Madrid,70
Dusan Vlahovic,Centre-Forward,23,Serbia,,Juventus FC,70
Alexander Isak,Centre-Forward,23,Sweden,Eritrea,Newcastle United,70
Kevin De Bruyne,Attacking Midfield,32,Belgium,,Manchester City,70
Nuno Mendes,Left-Back,21,Portugal,,Paris Saint-Germain,65
Darwin Núñez,Centre-Forward,24,Uruguay,,Liverpool FC,65
Alexis Mac Allister,Attacking Midfield,24,Argentina,Italy,Liverpool FC,65
William Saliba,Centre-Back,22,France,Cameroon,Arsenal FC,65
Reece James,Right-Back,23,England,,Chelsea FC,65
Achraf Hakimi,Right-Back,24,Morocco,Spain,Paris Saint-Germain,65
Trent Alexander-Arnold,Right-Back,24,England,,Liverpool FC,65
